name,file,docstring,input,start_line,end_line,output
parser_arguments,/Users/bytedance/test_repo/BytedanceQA/12306/run.py,"不应该在这里定义，先放在这里
:param argv:
:return:","def parser_arguments(argv):
    """"""
    不应该在这里定义，先放在这里
    :param argv:
    :return:
    """"""
    parser = argparse.ArgumentParser()
    parser.add_argument(""operate"", type=str, help=""r: 运行抢票程序, c: 过滤cdn, t: 测试邮箱和server酱，server酱需要打开开关"")

    return parser.parse_args(argv)",6,15,
get_ticket_info,/Users/bytedance/test_repo/BytedanceQA/12306/init/select_ticket_info.py,"获取配置信息
:return:","def get_ticket_info():
        """"""
        获取配置信息
        :return:
        """"""

        print(u""*"" * 50)
        print(f""检查当前版本为: {TickerConfig.RE_VERSION}"")
        version = sys.version.split("" "")[0]
        print(u""检查当前python版本为：{}，目前版本只支持3.6以上"".format(version))
        if version < ""3.6.0"":
            raise Exception
        print(u""12306刷票小助手，最后更新于2019.09.18，请勿作为商业用途，交流群号：""
              u"" 1群：286271084(已满)\n""
              u"" 2群：649992274(已满)\n""
              u"" 3群：632501142(已满)\n""
              u"" 4群: 606340519(已满)\n""
              u"" 5群: 948526733(已满)\n""
              u"" 7群: 660689659(已满)\n""
              u"" 8群: 620629239(已满)\n""
              u"" 6群: 608792930(未满)\n""
              u"" 9群: 693035807(未满)\n""
              )
        print(
            f""当前配置：\n出发站：{TickerConfig.FROM_STATION}\n到达站：{TickerConfig.TO_STATION}\n车次: {','.join(TickerConfig.STATION_TRAINS) or '所有车次'}\n乘车日期：{','.join(TickerConfig.STATION_DATES)}\n坐席：{','.join(TickerConfig.SET_TYPE)}\n是否有票优先提交：{TickerConfig.IS_MORE_TICKET}\n乘车人：{TickerConfig.TICKET_PEOPLES}\n"" \
            f""刷新间隔: 随机(1-3S)\n僵尸票关小黑屋时长: {TickerConfig.TICKET_BLACK_LIST_TIME}\n下单接口: {TickerConfig.ORDER_TYPE}\n下单模式: {TickerConfig.ORDER_MODEL}\n预售踩点时间:{TickerConfig.OPEN_TIME}"")
        print(u""*"" * 50)",54,80,
station_table,/Users/bytedance/test_repo/BytedanceQA/12306/init/select_ticket_info.py,"读取车站信息
:param station:
:return:","def station_table(self, from_station, to_station):
        """"""
        读取车站信息
        :param station:
        :return:
        """"""
        path = os.path.join(os.path.dirname(__file__), '../station_name.txt')
        try:
            with open(path, encoding=""utf-8"") as result:
                info = result.read().split('=')[1].strip(""'"").split('@')
        except Exception:
            with open(path) as result:
                info = result.read().split('=')[1].strip(""'"").split('@')
        del info[0]
        station_name = {}
        for i in range(0, len(info)):
            n_info = info[i].split('|')
            station_name[n_info[1]] = n_info[2]
        try:
            from_station = station_name[from_station.encode(""utf8"")]
            to_station = station_name[to_station.encode(""utf8"")]
        except KeyError:
            from_station = station_name[from_station]
            to_station = station_name[to_station]
        return from_station, to_station",82,106,
call_login,/Users/bytedance/test_repo/BytedanceQA/12306/init/select_ticket_info.py,"登录回调方法
:return:","def call_login(self, auth=False):
        """"""
        登录回调方法
        :return:
        """"""
        if auth:
            return self.login.auth()
        else:
            configCommon.checkSleepTime(self)  # 防止网上启动晚上到点休眠
            self.login.go_login()",108,117,
auth,/Users/bytedance/test_repo/BytedanceQA/12306/init/login.py,:return:,"def auth(self):
        """"""
        :return:
        """"""
        self.session.httpClint.send(self.session.urls[""loginInitCdn1""])
        uamtkStaticUrl = self.session.urls[""uamtk-static""]
        uamtkStaticData = {""appid"": ""otn""}
        return self.session.httpClint.send(uamtkStaticUrl, uamtkStaticData)",21,28,
codeCheck,/Users/bytedance/test_repo/BytedanceQA/12306/init/login.py,"验证码校验
:return:","def codeCheck(self):
        """"""
        验证码校验
        :return:
        """"""
        codeCheckUrl = copy.deepcopy(self.session.urls[""codeCheck1""])
        codeCheckUrl[""req_url""] = codeCheckUrl[""req_url""].format(self.randCode, int(time.time() * 1000))
        fresult = self.session.httpClint.send(codeCheckUrl)
        if not isinstance(fresult, str):
            print(""登录失败"")
            return
        fresult = eval(fresult.split(""("")[1].split("")"")[0])
        if ""result_code"" in fresult and fresult[""result_code""] == ""4"":
            print(u""验证码通过,开始登录.."")
            return True
        else:
            if ""result_message"" in fresult:
                print(fresult[""result_message""])
            sleep(1)
            self.session.httpClint.del_cookies()",30,49,
baseLogin,/Users/bytedance/test_repo/BytedanceQA/12306/init/login.py,"登录过程
:param user:
:param passwd:
:return: 权限校验码","def baseLogin(self, user, passwd):
        """"""
        登录过程
        :param user:
        :param passwd:
        :return: 权限校验码
        """"""
        logurl = self.session.urls[""login""]

        loginData = OrderedDict()
        loginData[""username""] = user,
        loginData[""password""] = passwd,
        loginData[""appid""] = ""otn"",
        loginData[""answer""] = self.randCode,

        tresult = self.session.httpClint.send(logurl, loginData)
        if 'result_code' in tresult and tresult[""result_code""] == 0:
            print(u""登录成功"")
            tk = self.auth()
            if ""newapptk"" in tk and tk[""newapptk""]:
                return tk[""newapptk""]
            else:
                return False
        elif 'result_message' in tresult and tresult['result_message']:
            messages = tresult['result_message']
            if messages.find(u""密码输入错误"") is not -1:
                raise UserPasswordException(""{0}"".format(messages))
            else:
                print(u""登录失败: {0}"".format(messages))
                print(u""尝试重新登陆"")
                return False
        else:
            return False",51,83,
getUserName,/Users/bytedance/test_repo/BytedanceQA/12306/init/login.py,"登录成功后,显示用户名
:return:","def getUserName(self, uamtk):
        """"""
        登录成功后,显示用户名
        :return:
        """"""
        if not uamtk:
            return u""权限校验码不能为空""
        else:
            uamauthclientUrl = self.session.urls[""uamauthclient""]
            data = {""tk"": uamtk}
            uamauthclientResult = self.session.httpClint.send(uamauthclientUrl, data)
            if uamauthclientResult:
                if ""result_code"" in uamauthclientResult and uamauthclientResult[""result_code""] == 0:
                    print(u""欢迎 {} 登录"".format(uamauthclientResult[""username""]))
                    return True
                else:
                    return False
            else:
                self.session.httpClint.send(uamauthclientUrl, data)
                url = self.session.urls[""getUserInfo""]
                self.session.httpClint.send(url)",85,105,
go_login,/Users/bytedance/test_repo/BytedanceQA/12306/init/login.py,"登陆
:param user: 账户名
:param passwd: 密码
:return:","def go_login(self):
        """"""
        登陆
        :param user: 账户名
        :param passwd: 密码
        :return:
        """"""
        user, passwd = TickerConfig.USER, TickerConfig.PWD
        if not user or not passwd:
            raise UserPasswordException(u""温馨提示: 用户名或者密码为空，请仔细检查"")
        login_num = 0
        while True:
            if loginConf(self.session):

                result = getPassCodeNewOrderAndLogin1(session=self.session, imgType=""login"")
                if not result:
                    continue
                self.randCode = getRandCode(self.is_auto_code, self.auto_code_type, result)
                print(self.randCode)
                login_num += 1
                self.auth()
                if self.codeCheck():
                    uamtk = self.baseLogin(user, passwd)
                    if uamtk:
                        self.getUserName(uamtk)
                        break
            else:
                loginAysnSuggest(self.session, username=user, password=passwd)
                login_num += 1
                break",107,136,
sendEmail,/Users/bytedance/test_repo/BytedanceQA/12306/config/emailConf.py,"邮件通知
:param str: email content
:return:","def sendEmail(msg):
    """"""
    邮件通知
    :param str: email content
    :return:
    """"""
    try:
        if TickerConfig.EMAIL_CONF[""IS_MAIL""]:
            sender = TickerConfig.EMAIL_CONF[""email""]
            receiver = TickerConfig.EMAIL_CONF[""notice_email_list""]
            subject = '恭喜，您已订票成功'
            username = TickerConfig.EMAIL_CONF[""username""]
            password = TickerConfig.EMAIL_CONF[""password""]
            host = TickerConfig.EMAIL_CONF[""host""]
            s = ""{0}"".format(msg)

            msg = MIMEText(s, 'plain', 'utf-8')  # 中文需参数‘utf-8’，单字节字符不需要
            msg['Subject'] = Header(subject, 'utf-8')
            msg['From'] = sender
            msg['To'] = receiver

            try:
                smtp = smtplib.SMTP_SSL(host)
                smtp.connect(host)
            except socket.error:
                smtp = smtplib.SMTP()
                smtp.connect(host)
            smtp.connect(host)
            smtp.login(username, password)
            smtp.sendmail(sender, receiver.split("",""), msg.as_string())
            smtp.quit()
            print(u""邮件已通知, 请查收"")
    except Exception as e:
        print(u""邮件配置有误{}"".format(e))",10,43,
